secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
1.06,-2.60523,-1.47298,3.819422,0.096974,0.510695,-0.854276,0.307704,-0.017516,0.298489,0.884464,-0.263499,-0.058569,0.380606,12.0,2.0,16.0,45DBP,33
1.07,-2.614747,-1.425625,3.871,0.104694,0.528951,-0.84217,0.280728,-0.058675,0.288779,0.873009,-0.273328,-0.064858,0.398674,12.0,2.0,16.0,45DBP,33
1.08,-2.694525,-1.372062,3.898723,0.113907,0.546894,-0.829417,0.252227,-0.075444,0.296076,0.860899,-0.283301,-0.070939,0.416606,12.0,2.0,16.0,45DBP,33
1.09,-2.827358,-1.294853,3.889889,0.124599,0.56497,-0.81565,0.23261,-0.055662,0.298041,0.848118,-0.293702,-0.076904,0.43419,12.0,2.0,16.0,45DBP,33
1.1,-2.961794,-1.201414,3.876848,0.13682,0.583348,-0.800616,0.223165,-0.030079,0.315707,0.834669,-0.304698,-0.082773,0.45126,12.0,2.0,16.0,45DBP,33
1.11,-3.04582,-1.118877,3.891703,0.15065,0.601621,-0.784447,0.211944,-0.026457,0.347069,0.820561,-0.316149,-0.088466,0.46787,12.0,2.0,16.0,45DBP,33
1.12,-3.163401,-1.014238,3.883227,0.166151,0.619521,-0.767195,0.202486,-0.013777,0.346205,0.805799,-0.327995,-0.093924,0.484031,12.0,2.0,16.0,45DBP,33
1.13,-3.211102,-0.908265,3.840558,0.183202,0.637024,-0.748758,0.17712,0.022049,0.365548,0.790475,-0.340279,-0.099153,0.499528,12.0,2.0,16.0,45DBP,33
1.14,-3.275783,-0.803685,3.791228,0.201542,0.653701,-0.729422,0.137783,0.03061,0.352987,0.774714,-0.35277,-0.104126,0.514324,12.0,2.0,16.0,45DBP,33
1.15,-3.329428,-0.698923,3.725789,0.221042,0.669548,-0.709117,0.103635,0.05497,0.350947,0.758554,-0.365496,-0.108877,0.52835,12.0,2.0,16.0,45DBP,33
1.16,-3.390122,-0.598664,3.654375,0.241532,0.684528,-0.68781,0.073012,0.104397,0.329015,0.742042,-0.37845,-0.113449,0.541552,12.0,2.0,16.0,45DBP,33
1.17,-3.409664,-0.482121,3.599117,0.262964,0.69846,-0.665585,0.051245,0.150356,0.302594,0.725209,-0.391574,-0.117803,0.553954,12.0,2.0,16.0,45DBP,33
1.18,-3.455878,-0.36386,3.486339,0.28532,0.711168,-0.642521,0.035542,0.205534,0.303181,0.70817,-0.404846,-0.121818,0.565469,12.0,2.0,16.0,45DBP,33
1.19,-3.624004,-0.328436,3.299895,0.307561,0.723393,-0.618149,0.013026,0.293498,0.312287,0.690966,-0.418354,-0.126117,0.575883,12.0,2.0,16.0,45DBP,33
1.2,-3.739387,-0.363332,3.117554,0.328926,0.735583,-0.592221,0.007011,0.37573,0.234814,0.673556,-0.432061,-0.131198,0.585177,12.0,2.0,16.0,45DBP,33
1.21,-3.556868,-0.468575,3.043057,0.349328,0.746448,-0.566379,0.021262,0.428036,0.106662,0.656147,-0.445122,-0.136665,0.593853,12.0,2.0,16.0,45DBP,33
1.22,-3.12167,-0.514941,3.099642,0.369585,0.754018,-0.543014,0.037382,0.434978,0.022064,0.639057,-0.456618,-0.141396,0.602589,12.0,2.0,16.0,45DBP,33
1.23,-2.720278,-0.481324,3.181004,0.39073,0.757611,-0.522834,0.013017,0.385959,0.03617,0.622403,-0.466566,-0.144565,0.611581,12.0,2.0,16.0,45DBP,33
1.24,-2.303756,-0.364237,3.247082,0.412898,0.75767,-0.505422,-0.029201,0.307775,0.033407,0.606227,-0.475337,-0.146094,0.620645,12.0,2.0,16.0,45DBP,33
1.25,-1.931898,-0.262988,3.285869,0.436146,0.754237,-0.490819,-0.057484,0.194326,0.043264,0.590722,-0.483065,-0.145734,0.629648,12.0,2.0,16.0,45DBP,33
1.26,-1.895414,-0.268003,3.2309,0.459472,0.748796,-0.477693,-0.106963,0.058821,0.061113,0.575532,-0.490158,-0.144565,0.638443,12.0,2.0,16.0,45DBP,33
1.27,-1.868168,-0.268019,3.192688,0.482151,0.742612,-0.464819,-0.132466,-0.032987,0.07781,0.560333,-0.496989,-0.143503,0.646866,12.0,2.0,16.0,45DBP,33
1.28,-1.744142,-0.218394,3.176914,0.504635,0.735125,-0.452696,-0.132535,-0.017657,0.06497,0.545232,-0.503455,-0.142073,0.655035,12.0,2.0,16.0,45DBP,33
1.29,-1.721175,-0.095524,3.011753,0.526645,0.726819,-0.440884,-0.124255,0.084246,0.08154,0.530499,-0.509771,-0.140325,0.662581,12.0,2.0,16.0,45DBP,33
1.3,-1.705895,0.028184,2.824745,0.547615,0.71862,-0.428606,-0.081505,0.275673,0.088488,0.516333,-0.516209,-0.138653,0.669106,12.0,2.0,16.0,45DBP,33
1.31,-1.48126,0.046074,2.736962,0.567629,0.709959,-0.41684,-0.016024,0.406771,0.073273,0.502842,-0.522376,-0.136759,0.67496,12.0,2.0,16.0,45DBP,33
1.32,-1.056424,0.016736,2.727023,0.587025,0.699428,-0.407679,0.04446,0.492085,0.049036,0.490253,-0.527496,-0.133824,0.680802,12.0,2.0,16.0,45DBP,33
1.33,-0.648572,0.020972,2.729005,0.606044,0.686552,-0.401691,0.067799,0.546236,0.05077,0.478669,-0.531411,-0.129446,0.68682,12.0,2.0,16.0,45DBP,33
1.34,-0.34769,0.093155,2.743642,0.624876,0.671652,-0.398012,0.046465,0.515406,0.089708,0.467936,-0.534499,-0.123713,0.69285,12.0,2.0,16.0,45DBP,33
1.35,-0.172977,0.191794,2.76418,0.643758,0.655155,-0.395407,-0.011114,0.376171,0.155768,0.457744,-0.537251,-0.116867,0.698694,12.0,2.0,16.0,45DBP,33
1.36,-0.088108,0.294386,2.794086,0.662734,0.637447,-0.392995,-0.075149,0.187016,0.229116,0.447764,-0.539969,-0.109254,0.704276,12.0,2.0,16.0,45DBP,33
