secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
86.16,-0.080666,-0.005034,-0.085925,-0.750373,-0.531549,-0.392933,0.039329,-0.038062,0.016117,0.823496,0.241335,-0.495269,-0.135352,18.0,3.0,13.0,MTE,22
86.17,-0.091828,-0.005264,-0.081829,-0.749952,-0.531803,-0.393393,0.024808,-0.010251,0.022132,0.823542,0.241156,-0.495123,-0.135924,18.0,3.0,13.0,MTE,22
86.18,-0.070303,-0.014954,-0.082257,-0.749569,-0.532305,-0.393443,0.013378,-0.002424,0.010585,0.823461,0.241138,-0.495107,-0.136506,18.0,3.0,13.0,MTE,22
86.19,-0.057288,-0.01053,-0.071405,-0.749503,-0.532646,-0.393108,0.011359,-0.003151,0.014873,0.823288,0.241107,-0.495291,-0.136935,18.0,3.0,13.0,MTE,22
86.2,0.009878,-0.000726,-0.071332,-0.74946,-0.532503,-0.393383,0.009287,-0.00923,0.011867,0.82334,0.240896,-0.495255,-0.137125,18.0,3.0,13.0,MTE,22
86.21,0.041138,0.013074,-0.070488,-0.749145,-0.533058,-0.393233,0.005737,-0.016228,0.004347,0.823264,0.241156,-0.495204,-0.137304,18.0,3.0,13.0,MTE,22
86.22,0.019987,0.022485,-0.064707,-0.748183,-0.534738,-0.392782,0.000563,-0.013022,0.01055,0.823048,0.241983,-0.495028,-0.13778,18.0,3.0,13.0,MTE,22
86.23,0.013629,0.011921,-0.076244,-0.746847,-0.536798,-0.392514,-0.002436,-0.01174,0.004254,0.822851,0.242937,-0.494697,-0.138466,18.0,3.0,13.0,MTE,22
86.24,-0.015865,0.002059,-0.051892,-0.74598,-0.538177,-0.392274,0.001916,-0.0224,0.011949,0.822692,0.243545,-0.494519,-0.138976,18.0,3.0,13.0,MTE,22
86.25,-0.059401,-0.002287,-0.026153,-0.745647,-0.538693,-0.3922,0.013164,-0.019245,0.015948,0.822615,0.243692,-0.494484,-0.1393,18.0,3.0,13.0,MTE,22
86.26,-0.076562,-0.029857,-0.035195,-0.745564,-0.538696,-0.392352,0.021077,-0.005875,0.000827,0.822607,0.243502,-0.494501,-0.139619,18.0,3.0,13.0,MTE,22
86.27,-0.076562,-0.029857,-0.035195,-0.745564,-0.538696,-0.392352,0.021077,-0.005875,0.000827,0.822607,0.243502,-0.494501,-0.139619,18.0,3.0,13.0,MTE,22
86.28,-0.092998,-0.033788,-0.054927,-0.74551,-0.538811,-0.392297,0.029446,-0.004188,0.00039,0.822514,0.243307,-0.494624,-0.14007,18.0,3.0,13.0,MTE,22
86.29,-0.090418,-0.033115,-0.046776,-0.745354,-0.539028,-0.392296,0.028298,-0.012929,0.013878,0.822426,0.243141,-0.494706,-0.140585,18.0,3.0,13.0,MTE,22
86.3,-0.060755,-0.004012,-0.043522,-0.745096,-0.539305,-0.392406,0.01948,-0.013811,0.010616,0.82238,0.243047,-0.494697,-0.141047,18.0,3.0,13.0,MTE,22
86.31,-0.030652,0.012481,-0.057671,-0.744815,-0.539705,-0.392388,0.005466,0.007097,-0.000922,0.822314,0.243102,-0.494679,-0.141397,18.0,3.0,13.0,MTE,22
86.32,0.007228,0.036293,-0.069841,-0.744357,-0.540315,-0.39242,-0.004346,0.01114,-0.002874,0.822273,0.243328,-0.494552,-0.141695,18.0,3.0,13.0,MTE,22
86.33,0.006767,0.03159,-0.053912,-0.743746,-0.541295,-0.392226,-0.007017,0.004918,0.007506,0.822162,0.243799,-0.494418,-0.141995,18.0,3.0,13.0,MTE,22
86.34,0.006437,0.016029,-0.026757,-0.743266,-0.542133,-0.391979,-0.002995,0.004993,0.017162,0.822044,0.244207,-0.494342,-0.142245,18.0,3.0,13.0,MTE,22
86.35,0.004873,0.015207,-0.02091,-0.74287,-0.542546,-0.392158,-0.000156,0.006764,0.015449,0.822074,0.244398,-0.494157,-0.142384,18.0,3.0,13.0,MTE,22
86.36,-0.001044,-0.001323,-0.03604,-0.742427,-0.543006,-0.392359,0.007763,0.009559,0.005854,0.822101,0.244583,-0.493963,-0.142584,18.0,3.0,13.0,MTE,22
86.37,-0.026659,-0.016585,-0.053269,-0.741971,-0.543765,-0.392171,0.021818,0.00574,-0.002879,0.821982,0.244875,-0.493914,-0.142939,18.0,3.0,13.0,MTE,22
86.38,-0.062211,-0.031125,-0.066669,-0.741574,-0.544394,-0.39205,0.031415,-0.004693,-0.011469,0.82186,0.245002,-0.493912,-0.143427,18.0,3.0,13.0,MTE,22
86.39,-0.092774,-0.023348,-0.076257,-0.741367,-0.544428,-0.392394,0.029987,-0.019247,-0.001603,0.821879,0.24473,-0.493873,-0.143915,18.0,3.0,13.0,MTE,22
86.4,-0.078177,0.009208,-0.067307,-0.741173,-0.544299,-0.392939,0.016777,-0.017606,0.010066,0.821969,0.244382,-0.493769,-0.144349,18.0,3.0,13.0,MTE,22
86.41,-0.03013,0.034785,-0.061527,-0.740936,-0.544413,-0.393229,0.002578,0.006037,0.005762,0.822004,0.244278,-0.493674,-0.144648,18.0,3.0,13.0,MTE,22
86.42,0.017643,0.062622,-0.066948,-0.740598,-0.544818,-0.393303,-0.010714,0.030658,0.005547,0.821999,0.244453,-0.49355,-0.144806,18.0,3.0,13.0,MTE,22
86.43,0.067334,0.054564,-0.064649,-0.740191,-0.545431,-0.393221,-0.020674,0.032949,0.00371,0.821967,0.244836,-0.493401,-0.144849,18.0,3.0,13.0,MTE,22
